iter	Passed	Remaining
402	15689	23242
403	15740	23221
404	15801	23214
405	15854	23196
406	15931	23212
407	16008	23227
408	16067	23217
409	16117	23193
410	16162	23162
411	16213	23139
412	16265	23118
413	16317	23096
414	16379	23089
415	16419	23050
416	16475	23034
417	16542	23032
418	16606	23027
419	16676	23029
420	16739	23022
421	16787	22993
422	16837	22967
423	16898	22955
424	16948	22930
425	16997	22902
426	17044	22872
427	17108	22863
428	17169	22852
429	17234	22846
430	17295	22833
431	17342	22801
432	17392	22774
433	17443	22749
434	17493	22721
435	17544	22695
436	17595	22668
437	17660	22660
438	17713	22635
439	17782	22632
440	17833	22605
441	17883	22577
442	17942	22559
443	18000	22540
444	18049	22511
445	18102	22486
446	18155	22460
447	18211	22439
448	18262	22411
449	18315	22386
450	18375	22368
451	18418	22330
452	18471	22304
453	18526	22280
454	18588	22264
455	18645	22244
456	18710	22231
457	18760	22201
458	18815	22176
459	18878	22161
460	18948	22154
461	19008	22135
462	19063	22110
463	19122	22089
464	19184	22072
465	19229	22035
466	19272	21996
467	19330	21973
468	19387	21950
469	19453	21937
470	19513	21916
471	19571	21893
472	19617	21857
473	19668	21826
474	19734	21811
475	19788	21783
476	19836	21749
477	19888	21718
478	19945	21694
479	19993	21659
480	20059	21644
481	20121	21624
482	20176	21596
483	20235	21573
484	20301	21557
485	20355	21528
486	20406	21495
487	20464	21470
488	20529	21453
489	20575	21415
490	20636	21392
491	20694	21367
492	20750	21339
493	20799	21304
494	20837	21258
495	20898	21235
496	20960	21214
497	21007	21176
498	21056	21141
499	21110	21110
500	21166	21081
501	21228	21059
502	21278	21024
503	21325	20986
504	21389	20966
505	21450	20941
506	21520	20925
507	21578	20899
508	21639	20874
509	21693	20843
510	21736	20800
511	21777	20756
512	21827	20721
513	21875	20683
514	21921	20644
515	21976	20613
516	22031	20582
517	22091	20556
518	22143	20521
519	22196	20489
520	22237	20444
521	22288	20410
522	22342	20377
523	22402	20350
524	22454	20316
525	22500	20275
526	22568	20255
527	22621	20222
528	22671	20186
529	22726	20153
530	22788	20127
531	22844	20096
532	22891	20056
533	22936	20016
534	23002	19992
535	23057	19960
536	23092	19910
537	23142	19873
538	23185	19829
539	23252	19807
540	23297	19766
541	23351	19732
542	23400	19694
543	23461	19666
544	23506	19624
545	23564	19594
546	23620	19561
547	23677	19529
548	23720	19486
549	23762	19441
550	23814	19405
551	23865	19368
552	23937	19349
553	24004	19324
554	24063	19294
555	24127	19267
556	24187	19236
557	24230	19193
558	24284	19158
559	24339	19123
560	24393	19088
561	24453	19058
562	24503	19019
563	24556	18983
564	24611	18948
565	24668	18915
566	24717	18875
567	24761	18832
568	24823	18802
569	24882	18770
570	24941	18738
571	24996	18703
572	25037	18657
573	25092	18622
574	25144	18585
575	25197	18548
576	25260	18518
577	25326	18490
578	25394	18464
579	25441	18423
580	25488	18381
581	25535	18340
582	25598	18309
583	25666	18282
584	25726	18250
585	25785	18217
586	25845	18184
587	25891	18141
588	25937	18098
589	25988	18059
590	26035	18018
591	26095	17984
592	26154	17951
593	26204	17911
594	26268	17879
595	26325	17844
596	26382	17809
597	26444	17777
598	26513	17749
599	26561	17707
600	26622	17674
601	26687	17643
602	26748	17610
603	26794	17567
604	26854	17533
605	26909	17495
606	26965	17458
607	27023	17422
608	27068	17379
609	27119	17338
610	27168	17297
611	27218	17256
612	27275	17219
613	27331	17182
614	27382	17141
615	27441	17106
616	27494	17067
617	27546	17027
618	27582	16977
619	27621	16929
620	27656	16879
621	27704	16836
622	27760	16798
623	27810	16757
624	27859	16715
625	27917	16679
626	27971	16640
627	28028	16603
628	28102	16575
629	28168	16543
630	28225	16505
631	28272	16462
632	28327	16423
633	28390	16389
634	28445	16350
635	28500	16311
636	28546	16267
637	28601	16228
638	28655	16188
639	28697	16142
640	28745	16099
641	28803	16061
642	28849	16017
643	28906	15979
644	28962	15940
645	29035	15910
646	29092	15872
647	29137	15828
648	29188	15786
649	29243	15746
650	29292	15703
651	29332	15655
652	29384	15614
653	29432	15571
654	29479	15527
655	29531	15485
656	29588	15447
657	29638	15404
658	29683	15359
659	29730	15315
660	29781	15273
661	29842	15236
662	29909	15202
663	29962	15161
664	30010	15118
665	30055	15072
666	30111	15033
667	30170	14995
668	30223	14953
669	30265	14907
670	30302	14857
671	30340	14809
672	30394	14768
673	30444	14725
674	30502	14686
675	30559	14646
676	30609	14603
677	30650	14556
678	30699	14513
679	30746	14468
680	30795	14425
681	30841	14380
682	30900	14341
683	30958	14302
