iter	RMSE
0	172.2802573
1	164.2032803
2	156.7651264
3	150.1057561
4	143.9428004
5	138.5845678
6	133.7272321
7	129.1530836
8	125.2457633
9	121.7444892
10	118.4976469
11	114.2970177
12	110.7464923
13	107.2600145
14	103.9871484
15	101.0966389
16	98.227168
17	96.01818877
18	93.78167131
19	91.92616466
20	90.30459026
21	88.71995252
22	87.34154079
23	85.8870295
24	84.72037348
25	83.56870254
26	82.59681962
27	81.54308747
28	80.0167101
29	78.7984095
30	78.00343031
31	77.25472391
32	76.10440576
33	75.2633448
34	74.78593595
35	74.04744592
36	73.21655577
37	72.36099042
38	71.90842022
39	71.45838156
40	70.98699042
41	70.56079876
42	70.20402449
43	69.89608049
44	69.33265732
45	68.99645646
46	68.84088756
47	68.33561963
48	67.73606386
49	67.53198581
50	67.3715552
51	66.74033275
52	66.58816769
53	66.31194645
54	66.18480524
55	65.57857776
56	65.39554282
57	65.30631066
58	65.14657714
59	65.02486747
60	64.54393565
61	64.42406253
62	64.13521416
63	64.00161968
64	63.90509355
65	63.31921158
66	63.10181977
67	62.93412243
68	62.32940973
69	62.25072784
70	62.12772129
71	62.05565541
72	61.81505687
73	61.48289086
74	61.27580169
75	61.11039287
76	60.99144596
77	60.48629258
78	60.40347882
79	60.278981
80	60.17363157
81	60.04005334
82	59.71834623
83	59.71750267
84	59.67295588
85	59.3784698
86	59.26411134
87	59.17377456
88	59.11455697
89	59.01045141
90	58.94897346
91	58.86662402
92	58.66713436
93	58.53504528
94	58.26668086
95	58.10215488
96	58.07513006
97	57.98918444
98	57.94161322
99	57.85295356
100	57.66657608
101	57.58662253
102	57.55192291
103	57.5165015
104	57.46373915
105	57.40148199
106	57.32831199
107	57.27138053
108	57.17919611
109	57.08582137
110	56.97981336
111	56.9556313
112	56.86274894
113	56.83377099
114	56.819521
115	56.8043771
116	56.66142596
117	56.5925827
118	56.4730692
119	56.36372819
120	56.17249159
121	56.1323695
122	56.11063159
123	55.91062039
124	55.89393137
125	55.88926885
126	55.85525854
127	55.75273181
128	55.74894077
129	55.73894243
130	55.67297032
131	55.67170428
132	55.59954944
133	55.4585552
134	55.45114082
135	55.3597521
136	55.24104921
137	55.23734674
138	55.22029061
139	55.17768601
140	55.10986924
141	55.05615859
142	54.90882311
143	54.88913058
144	54.83232706
145	54.82398877
146	54.8007166
147	54.7401122
148	54.73407702
149	54.72467148
150	54.65891271
151	54.65105782
152	54.59239292
153	54.58503568
154	54.51816243
155	54.48900464
156	54.47596015
157	54.39894355
158	54.35165982
159	54.28260155
160	54.2773417
161	54.23859251
162	54.1972916
163	54.16770769
164	54.14054419
165	54.08664449
166	54.03387896
167	54.02192182
168	54.00445159
169	53.88595842
170	53.88505643
171	53.82212955
172	53.814443
173	53.80771944
174	53.79088644
175	53.73635918
176	53.67106854
177	53.67016129
178	53.64935974
179	53.57718706
180	53.5553531
181	53.55496519
182	53.44153852
183	53.40878918
184	53.35113559
185	53.31772102
186	53.27364978
187	53.2720839
188	53.22256422
189	53.20756678
190	53.12568871
191	53.03742719
192	52.97324877
193	52.96077567
194	52.94016126
195	52.91649816
196	52.8578905
197	52.82271265
198	52.79481513
199	52.77076457
200	52.75090015
201	52.70516713
202	52.68271165
203	52.66431153
204	52.64900791
205	52.62934068
206	52.62795667
207	52.56439921
208	52.5096655
209	52.48952867
210	52.4791527
211	52.43482115
212	52.23227479
213	52.23091674
214	52.20122048
215	52.18348455
216	52.13954022
217	52.11277294
218	52.09009598
219	51.9918778
220	51.9906608
221	51.98519093
222	51.98382239
223	51.86118128
224	51.79767748
225	51.78538047
226	51.64678577
227	51.51290237
228	51.4881241
229	51.44060813
230	51.41808364
231	51.37457179
232	51.30131944
233	51.28594036
234	51.26497972
235	51.22813261
236	51.20153009
237	51.06313295
238	51.05379816
239	50.93321704
240	50.92300419
241	50.89572049
242	50.82665141
243	50.82422752
244	50.81001088
245	50.77395637
246	50.75991695
247	50.73906209
248	50.70580731
249	50.66116112
250	50.62958306
251	50.61146009
252	50.60511407
253	50.56898739
254	50.48561591
255	50.46236548
256	50.43137776
257	50.40034736
258	50.35366387
259	50.31230193
260	50.22407499
261	50.20524738
262	50.18195631
263	50.17151836
264	50.15839338
265	50.10924123
266	50.08751946
267	50.06081514
268	50.04700903
269	50.02495349
270	49.99940654
271	49.98526249
272	49.93351936
273	49.88215028
274	49.84125067
275	49.77927511
276	49.74429941
277	49.69582372
278	49.67633103
279	49.6489594
280	49.61648891
281	49.5975772
282	49.55211352
283	49.46947653
284	49.43352784
285	49.42639352
286	49.38963197
287	49.37685677
288	49.36234502
289	49.33955783
290	49.32143856
291	49.29288283
292	49.29232793
293	49.27313591
294	49.18699477
295	49.18642666
296	49.17022336
297	49.14091665
298	49.13321563
299	49.10981563
300	49.07647934
301	49.0510765
302	49.03309717
303	49.00945488
304	48.96890167
305	48.95601067
306	48.92363789
307	48.90468967
308	48.90417013
309	48.87942728
310	48.87478429
311	48.85808596
312	48.81943399
313	48.80047479
314	48.73170931
315	48.7113024
316	48.69409382
317	48.66214251
318	48.64920391
319	48.6411292
320	48.63393668
321	48.59214967
322	48.5499805
323	48.53244667
324	48.49891385
325	48.45853142
326	48.45555147
327	48.42900089
328	48.41530193
329	48.41133071
330	48.40291132
331	48.37009166
332	48.36868022
333	48.36375301
334	48.35519252
335	48.33275404
336	48.32508599
337	48.32367106
338	48.29355106
339	48.19744773
340	48.19047216
341	48.18356898
342	48.13807402
343	48.08418208
344	48.0654344
345	48.04599345
346	48.04348244
347	48.03344867
348	48.00236437
349	47.99267411
350	47.96572881
351	47.94603569
352	47.94452814
353	47.93604213
354	47.93038703
355	47.9249548
356	47.90839186
357	47.86344626
358	47.83855271
359	47.81733168
360	47.78346248
361	47.77490763
362	47.73027613
363	47.69317957
